image,pres,freq,area
Shark,25,0,3
WALL-E,25,2,2
Elephant,30,0,3
Woodpecker,20,20,1
Mouse,15,10,1
Monkey,15,2,2
Spider,10,2,1
Cat,15,2,2
Worm,10,0,1
Octopus,30,2,3
Pepper,20,5,2
Spider,10,30,1
Shark,30,30,3
Mouse,10,10,1
Cat,20,10,2
Monkey,25,20,2
Woodpecker,10,20,2
Elephant,30,20,3
Baymax,20,1,3
WALL-E,20,1,2
Woodpecker,20,10,1
Shark,10,0,3
Octopus,25,1,2
Ants,10,5,1
Cat,20,1,1
Monkey,15,0,2
Elephant,25,0,3
Pepper,20,1,2
Spider,10,2,1
Worm,10,10,1
Baymax,10,0,3
Mouse,10,0,1
WALL-E,25,0,2
Baymax,20,0,3
Shark,15,0,3
Worm,10,0,1
Octopus,25,0,3
Ants,10,0,1
Cat,25,0,2
Elephant,30,0,3
Spider,10,0,1
Pepper,25,0,1
Baymax,25,0,3
Mouse,10,20,1
Woodpecker,10,10,1
Monkey,25,1,2
Worm,10,2,3
Ants,10,5,1
